density,configuration,seed,accident_trigger_s,accident_detection_s,em_generation_s,ev_receipt_s,ev_departure_s,ev_arrival_s,stored_travel_time_s,stored_response_time_s,calculated_travel_time_s,calculated_response_time_s,status
low,MistDynamicAStar,19,60.0,66.0,66.0,66.039,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,2,60.0,66.0,66.0,66.0243,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,20,60.0,65.5,65.5,65.525,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,21,60.0,66.0,66.0,66.0396,67.0,209.5,142.5,143.5,142.5,143.5,PASS
low,MistDynamicAStar,22,60.0,66.0,66.0,66.0415,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,23,60.0,65.5,65.5,65.5308,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,24,60.0,66.0,66.0,66.027,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,25,60.0,65.5,65.5,65.5156,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,26,60.0,65.5,65.5,65.5286,66.5,206.5,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,27,60.0,67.5,67.5,67.5315,68.5,209.0,140.5,141.5,140.5,141.5,PASS
low,MistDynamicAStar,28,60.0,66.0,66.0,,,,,,,,NOT_APPLICABLE_NETWORK_PARTITION
low,MistDynamicAStar,29,60.0,66.0,66.0,66.0227,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,3,60.0,66.0,66.0,66.0331,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,30,60.0,66.0,66.0,66.0255,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,4,60.0,66.0,66.0,66.0522,67.0,207.0,140.0,141.0,140.0,141.0,PASS
low,MistDynamicAStar,5,60.0,65.5,65.5,65.5253,66.5,206.5,140.0,141.0,140.0,141.0,PASS
